city,date,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,windSpeed_mean,windSpeed_max
dallas,2018-07-08,13105.550000000001,12803.43,13709.79,39316.65,523.2871899827093,89.01666666666667,83.58,95.63,6.110567349545644,50.0,38.0,62.0,8.286666666666667,11.37
dallas,2018-07-09,13220.89,12803.43,13638.35,26441.78,590.377593748273,81.515,80.11,82.92,1.9869700551342002,69.5,63.0,76.0,3.055,5.54
dallas,2018-07-10,12803.43,12803.43,12803.43,12803.43,,90.96,90.96,90.96,,51.0,51.0,51.0,4.08,4.08
dallas,2018-07-11,13045.19,12803.43,13286.95,26090.38,341.9002708393198,83.44,76.11,90.77,10.366185412194785,66.5,47.0,86.0,5.24,7.39
dallas,2018-07-12,17242.765,12803.43,21682.1,34485.53,6278.167764917563,80.985,79.03,82.94,2.7647875144393983,72.0,68.0,76.0,5.34,6.72
dallas,2018-07-13,12803.43,12803.43,12803.43,12803.43,,82.93,82.93,82.93,,66.0,66.0,66.0,6.23,6.23
dallas,2018-07-15,12803.43,12803.43,12803.43,12803.43,,86.62,86.62,86.62,,61.0,61.0,61.0,7.89,7.89
dallas,2018-07-16,13412.46,12803.43,14021.49,26824.92,861.2984858920851,91.695,83.99,99.4,10.8965154980847,47.5,33.0,62.0,8.84,11.77
dallas,2018-07-17,15750.564999999999,14526.38,16974.75,31501.129999999997,1731.2590298537073,91.54499999999999,89.1,93.99,3.4577521600022227,41.5,37.0,46.0,7.49,8.2
dallas,2018-07-18,12803.43,12803.43,12803.43,12803.43,,92.87,92.87,92.87,,45.0,45.0,45.0,8.54,8.54
dallas,2018-07-19,25311.52,25311.52,25311.52,25311.52,,91.09,91.09,91.09,,54.0,54.0,54.0,8.08,8.08
dallas,2018-07-21,13300.5725,12803.43,14792.0,53202.29,994.2849999999999,93.19749999999999,84.5,107.27,10.111578759026703,37.75,19.0,55.00000000000001,7.975,10.2
dallas,2018-07-22,17614.263333333332,12803.43,25616.33,52842.79,6977.146927171116,84.84333333333332,69.07,101.8,16.39705563000057,52.0,31.0,71.0,5.283333333333334,6.78
